SMILES,C_log_index,DFT C NMR,ML C NMR,exp_result,DFT H NMR,H_log_index,ML H NMR,name,regio,predicted_y
COc1cccc2ccccc12,10,123.9446,125.51,0,7.2942,21,7.39,arr61,9.7062,0
COc1cccc2ccccc12,11,122.3372,122.45,0,8.2619,22,8.23,arr61,9.3075,0
c1ccc2c(c1)cc[nH]2,1,118.9937,119.55,0,6.9462,10,7.23,comp35,19.5877,0
c1ccc2c(c1)cc[nH]2,2,121.2633,121.34,0,7.0043,11,7.27,comp35,20.1499,0
c1ccc2c(c1)cc[nH]2,3,108.8277,111.18,0,7.071000000000001,12,7.52,comp35,18.8933,0
c1ccc2c(c1)cc[nH]2,6,120.3754,120.45,0,7.417000000000001,13,7.53,comp35,19.6316,0
c1ccc2c(c1)cc[nH]2,7,102.8811,102.21,1,6.3874,14,6.85,comp35,0.0,1
c1ccc2c(c1)cc[nH]2,8,121.1065,124.92,0,6.8131,15,7.5,comp35,18.0425,0
c1cn2ccnc2c(n1)N1CCN(CC1)C,1,128.6793,131.54,0,7.1406,17,7.87,comp39,16.3473,0
c1cn2ccnc2c(n1)N1CCN(CC1)C,2,108.3613,114.59,1,7.0552,18,7.83,comp39,0.0,1
c1cn2ccnc2c(n1)N1CCN(CC1)C,4,111.0661,118.95,0,6.9595,19,7.28,comp39,0.8357,0
c1cn2ccnc2c(n1)N1CCN(CC1)C,5,130.3925,131.7,0,7.1573,20,7.26,comp39,14.3575,0
c1(nc2n(c(n1)CCC)ncc2)C,11,144.5914,142.7,0,7.6601,21,7.52,comp113,23.4215,0
c1(nc2n(c(n1)CCC)ncc2)C,12,95.6432,96.1,1,6.2019,22,6.44,comp113,0.0,1
n1nc[nH]c1c1cnccn1,3,136.639,142.34,1,7.6682,12,7.81,comp147,0.0,1
n1nc[nH]c1c1cnccn1,7,143.1433,142.65,0,9.5398,14,8.94,comp147,10.9621,0
n1nc[nH]c1c1cnccn1,9,144.2043,144.95,0,8.3024,15,8.31,comp147,10.5244,0
n1nc[nH]c1c1cnccn1,10,141.7729,143.17,0,8.0881,16,8.23,comp147,12.5268,0
c1n2ccnc(c2nc1)Cl,1,112.34,119.44,1,7.2092,11,7.48,comp40,0.0,1
c1n2ccnc(c2nc1)Cl,3,115.9158,121.34,0,7.4756,12,8.03,comp40,17.1596,0
c1n2ccnc(c2nc1)Cl,4,127.2849,132.15,0,7.3222,13,8.17,comp40,13.9095,0
c1n2ccnc(c2nc1)Cl,9,135.3713,134.22,0,7.4617,14,7.41,comp40,15.5938,0
c1(cccnc1N)C=O,2,142.3428,138.78,0,7.3057,10,8.07,comp22,34.4924,0
c1(cccnc1N)C=O,3,110.0446,115.27,1,6.3291,11,6.93,comp22,0.0,1
c1(cccnc1N)C=O,4,154.4166,152.85,0,7.9489,12,8.19,comp22,36.318000000000005,0
c1nccc(c1)C(=O)c1cccnc1N,1,148.4197,149.74,0,8.4649,16,8.24,comp76,28.6791,0
c1nccc(c1)C(=O)c1cccnc1N,3,151.2435,149.62,0,8.6155,17,8.21,comp76,27.9309,0
c1nccc(c1)C(=O)c1cccnc1N,4,122.7713,123.6,0,7.4704,18,7.54,comp76,22.0249,0
c1nccc(c1)C(=O)c1cccnc1N,6,121.6433,123.41,0,6.9738,19,7.75,comp76,22.1508,0
c1nccc(c1)C(=O)c1cccnc1N,10,141.7942,139.01,0,7.506,20,7.72,comp76,34.6547,0
c1nccc(c1)C(=O)c1cccnc1N,11,109.1364,114.71,1,6.2452,21,6.9,comp76,0.0,1
c1nccc(c1)C(=O)c1cccnc1N,12,154.5282,149.83,0,7.9922,22,8.09,comp76,34.9191,0
c1ncc(nc1)N,1,133.6133,133.17,1,7.6404,8,8.09,comp108,0.6685,1
c1ncc(nc1)N,3,129.8044,130.73,0,7.683,9,8.22,comp108,0.0,0
c1ncc(nc1)N,6,141.4458,142.82,0,7.6617,10,7.99,comp108,33.1396,0
[O-][n+]1ccccc1,3,138.6132,143.05,0,7.7412,8,7.94,arr3,3.8441,0
[O-][n+]1ccccc1,4,124.9721,120.35,0,6.8555,9,7.33,arr3,16.442999999999998,0
[O-][n+]1ccccc1,5,117.3752,131.81,1,6.5199,10,7.33,arr3,0.0,1
[O-][n+]1ccccc1,6,124.9573,120.35,0,6.8552,11,7.33,arr3,16.453,0
[O-][n+]1ccccc1,7,138.5527,143.05,0,7.7406,12,7.94,arr3,3.8441,0
c1ccnn2c1nnc2,1,126.1566,122.65,0,7.7568,10,8.07,comp41,19.4068,0
c1ccnn2c1nnc2,2,115.4645,125.1,0,6.599,11,7.28,comp41,7.2774,0
c1ccnn2c1nnc2,3,141.8892,145.46,0,7.8625,12,7.86,comp41,24.7246,0
c1ccnn2c1nnc2,9,136.356,137.8,1,8.544,13,8.84,comp41,0.0,1
c1csc(n1)Nc1cccc(c1)Cl,1,138.6393,139.29,0,6.9833,14,7.68,comp61,24.7144,0
c1csc(n1)Nc1cccc(c1)Cl,2,108.2768,110.69,1,6.1815,15,6.33,comp61,0.0,1
c1csc(n1)Nc1cccc(c1)Cl,8,114.3681,115.41,0,8.6825,17,7.79,comp61,14.36,0
c1csc(n1)Nc1cccc(c1)Cl,9,130.3424,130.06,0,7.0802,18,7.28,comp61,29.1129,0
c1csc(n1)Nc1cccc(c1)Cl,10,120.5747,122.66,0,6.7029,19,7.13,comp61,14.8391,0
c1csc(n1)Nc1cccc(c1)Cl,12,113.8899,116.95,0,6.3883,20,7.96,comp61,15.1769,0
c1nccc(c1)c1ccc(=O)[nH]c1,1,150.5142,149.84,0,8.3959,14,8.3,comp77,29.5181,0
c1nccc(c1)c1ccc(=O)[nH]c1,3,150.3793,149.88,0,8.3473,15,8.29,comp77,29.5181,0
c1nccc(c1)c1ccc(=O)[nH]c1,4,117.4163,120.56,0,6.8767,16,7.13,comp77,17.1432,0
c1nccc(c1)c1ccc(=O)[nH]c1,6,118.70700000000001,120.85,0,6.9813,17,7.17,comp77,17.218,0
c1nccc(c1)c1ccc(=O)[nH]c1,8,138.5576,139.52,0,7.3113,18,7.27,comp77,35.2314,0
c1nccc(c1)c1ccc(=O)[nH]c1,9,123.0769,121.72,1,6.3522,19,6.38,comp77,0.0,1
c1nccc(c1)c1ccc(=O)[nH]c1,13,131.5464,131.97,0,7.0439,21,7.39,comp77,32.7032,0
c1cnc(c(O[C@@H](c2cc(ccc2C(F)(F)F)Cl)C)c1)N,1,112.353,115.35,1,6.1069,22,6.89,comp23,0.0,1
c1cnc(c(O[C@@H](c2cc(ccc2C(F)(F)F)Cl)C)c1)N,2,144.2745,141.7,0,7.6064,23,7.96,comp23,27.941,0
c1cnc(c(O[C@@H](c2cc(ccc2C(F)(F)F)Cl)C)c1)N,9,128.8869,125.78,0,7.9161,25,7.61,comp23,28.3899,0
c1cnc(c(O[C@@H](c2cc(ccc2C(F)(F)F)Cl)C)c1)N,11,126.7897,128.45,0,7.0668,26,7.19,comp23,28.7016,0
c1cnc(c(O[C@@H](c2cc(ccc2C(F)(F)F)Cl)C)c1)N,12,125.8237,127.61,0,7.2168,27,7.42,comp23,32.343,0
c1cnc(c(O[C@@H](c2cc(ccc2C(F)(F)F)Cl)C)c1)N,20,128.5526,126.55,0,6.4699,31,7.02,comp23,30.8558,0
c1cnc(o1)c1ccccc1,1,135.9262,141.02,1,7.2823,12,7.54,comp43,0.0,1
c1cnc(o1)c1ccccc1,2,129.4231,128.42,0,6.9405,13,7.04,comp43,1.9405,0
c1cnc(o1)c1ccccc1,7,124.8623,126.05,0,7.8934,14,8.23,comp43,13.5319,0
c1cnc(o1)c1ccccc1,8,127.4503,128.99,0,7.2091,15,7.41,comp43,10.517000000000001,0
c1cnc(o1)c1ccccc1,9,129.0475,131.01,0,7.1749,16,7.39,comp43,13.2569,0
c1cnc(o1)c1ccccc1,10,127.9138,129.1,0,7.2382,17,7.39,comp43,10.6726,0
c1cnc(o1)c1ccccc1,11,127.1849,126.34,0,8.2798,18,7.93,comp43,13.5218,0
c1scc(n1)C,1,150.9911,153.0,0,8.0404,7,7.73,comp62,7.0692,0
c1scc(n1)C,3,113.1449,116.27,1,6.4492,8,6.56,comp62,0.0,1
c1c(c2c[nH]nc2c2ccc(cc2)F)ccnc1,1,120.7055,120.35,0,7.0436,19,7.54,comp56,6.0633,0
c1c(c2c[nH]nc2c2ccc(cc2)F)ccnc1,4,125.5509,126.74,1,7.204,20,7.71,comp56,0.0,1
c1c(c2c[nH]nc2c2ccc(cc2)F)ccnc1,9,130.2541,129.09,0,7.7811,22,7.26,comp56,15.1693,0
c1c(c2c[nH]nc2c2ccc(cc2)F)ccnc1,10,115.381,115.27,0,6.9835,23,6.91,comp56,10.7045,0
c1c(c2c[nH]nc2c2ccc(cc2)F)ccnc1,12,114.0223,115.27,0,6.6882,24,6.91,comp56,10.7043,0
c1c(c2c[nH]nc2c2ccc(cc2)F)ccnc1,13,130.6569,129.09,0,6.9924,25,7.26,comp56,15.1693,0
c1c(c2c[nH]nc2c2ccc(cc2)F)ccnc1,15,123.2388,121.63,0,6.8663,26,6.99,comp56,5.6912,0
c1c(c2c[nH]nc2c2ccc(cc2)F)ccnc1,16,149.7034,149.44,0,8.2116,27,8.17,comp56,17.5917,0
c1c(c2c[nH]nc2c2ccc(cc2)F)ccnc1,18,150.3679,149.01,0,8.4199,28,8.3,comp56,17.6017,0
c1nc(cc(c1)c1cnccc1)NC(=O)NCC,1,147.7375,146.97,0,7.9728,19,8.13,comp24,19.7663,0
c1nc(cc(c1)c1cnccc1)NC(=O)NCC,4,109.411,108.6,0,8.4046,20,7.84,comp24,0.0806,0
c1nc(cc(c1)c1cnccc1)NC(=O)NCC,6,114.4894,115.96,1,6.9110000000000005,21,7.28,comp24,0.0,1
c1nc(cc(c1)c1cnccc1)NC(=O)NCC,8,148.3682,148.93,0,8.6553,22,8.23,comp24,21.1632,0
c1nc(cc(c1)c1cnccc1)NC(=O)NCC,10,149.5135,149.42,0,8.4256,23,8.29,comp24,14.9362,0
c1nc(cc(c1)c1cnccc1)NC(=O)NCC,11,122.2122,123.14,0,7.1055,24,7.33,comp24,8.753,0
c1nc(cc(c1)c1cnccc1)NC(=O)NCC,12,134.0345,134.47,0,7.8399,25,7.63,comp24,21.2961,0
c1ncc(cc1)N1CCOCC1,1,141.5679,140.31,1,7.9711,13,8.09,comp129,1.1094,1
c1ncc(cc1)N1CCOCC1,3,135.876,138.75,0,7.8685,14,7.92,comp129,0.0,0
c1ncc(cc1)N1CCOCC1,5,124.3848,121.13,0,6.9632,15,7.3,comp129,1.2655,0
c1ncc(cc1)N1CCOCC1,6,121.5125,123.13,0,6.8628,16,7.21,comp129,16.2132,0
n1c(nc(cc1)N1CCCCC1)C(C)C,5,97.6863,106.14,1,5.9057,16,6.82,comp87,0.0,1
n1c(nc(cc1)N1CCCCC1)C(C)C,6,155.9802,156.77,0,7.815,17,8.05,comp87,37.7297,0
c1ncc(n1C)c1ccccc1,1,136.9468,139.23,0,6.9954,13,7.37,comp16,3.4930000000000003,0
c1ncc(n1C)c1ccccc1,3,129.0644,124.81,1,6.9058,14,7.22,comp16,0.0,1
c1ncc(n1C)c1ccccc1,8,125.8464,128.12,0,7.1456,18,7.44,comp16,12.9923,0
c1ncc(n1C)c1ccccc1,9,127.1757,128.28,0,7.2365,19,7.43,comp16,13.219000000000001,0
c1ncc(n1C)c1ccccc1,10,125.964,127.92,0,7.1147,20,7.4,comp16,11.7628,0
c1ncc(n1C)c1ccccc1,11,128.6315,128.76,0,7.2686,21,7.43,comp16,13.2563,0
c1ncc(n1C)c1ccccc1,12,128.4112,128.24,0,7.3808,22,7.34,comp16,12.9923,0
c1c(sc(n1)c1ccncc1)OC,1,116.0595,128.52,1,6.6316,14,7.24,comp64,0.0,1
c1c(sc(n1)c1ccncc1)OC,7,117.12899999999999,120.31,0,7.9091,15,7.53,comp64,11.6804,0
c1c(sc(n1)c1ccncc1)OC,8,150.0638,150.31,0,8.3579,16,8.33,comp64,17.0122,0
c1c(sc(n1)c1ccncc1)OC,10,149.8773,150.42,0,8.2979,17,8.22,comp64,16.9588,0
c1c(sc(n1)c1ccncc1)OC,11,117.1837,120.81,0,7.0211,18,8.18,comp64,11.6602,0
c1c(n2c(c(n1)Cl)ncc2)C,1,125.2426,130.73,0,7.2139999999999995,12,7.95,comp112,16.5502,0
c1c(n2c(c(n1)Cl)ncc2)C,9,135.5385,132.78,0,7.5225,13,7.3,comp112,14.2332,0
c1c(n2c(c(n1)Cl)ncc2)C,10,109.2856,119.22,1,7.1037,14,7.5,comp112,0.0,1
c1cn(c(n1)SC)C,1,128.2439,129.73,0,6.7005,9,7.25,comp156,0.2567,0
c1cn(c(n1)SC)C,2,118.8932,122.98,1,6.4398,10,6.9,comp156,0.0,1
c1c[nH]cn1,1,129.3916,129.21,0,6.9791,6,7.41,arr37,0.6724,0
c1c[nH]cn1,2,112.175,119.15,1,6.6437,7,7.28,arr37,0.0,1
c1c[nH]cn1,4,131.4088,135.65,0,7.1389,9,7.71,arr37,3.8684,0
o1cccc1,2,140.7471,143.26,1,7.1625,6,7.33,arr17,0.0,1
o1cccc1,3,109.3723,110.71,0,6.2077,7,6.41,arr17,3.4512,0
o1cccc1,4,109.3766,110.71,0,6.2071,8,6.41,arr17,3.4512,0
o1cccc1,5,140.7484,143.26,1,7.162999999999999,9,7.33,arr17,0.0,1
n1cccn1c1ncccn1,2,141.4544,141.83,0,7.3719,12,7.49,comp2,12.6857,0
n1cccn1c1ncccn1,3,107.7586,107.98,1,6.1984,13,6.48,comp2,0.0,1
n1cccn1c1ncccn1,4,127.6257,129.96,0,8.374,14,8.03,comp2,13.225,0
n1cccn1c1ncccn1,8,156.0118,158.14,0,8.2406,15,8.18,comp2,35.2199,0
n1cccn1c1ncccn1,9,116.1249,118.2,0,6.6879,16,6.88,comp2,13.3789,0
n1cccn1c1ncccn1,10,158.1388,156.63,0,8.4083,17,8.1,comp2,34.7751,0
n1ccc(nc1N)c1ccccc1,2,157.7302,158.0,0,7.9876,14,7.74,comp26,42.9979,0
n1ccc(nc1N)c1ccccc1,3,105.1574,109.11,1,6.7027,15,6.63,comp26,0.0,1
n1ccc(nc1N)c1ccccc1,9,128.1975,126.16,0,8.2519,18,7.67,comp26,23.638,0
n1ccc(nc1N)c1ccccc1,10,127.946,128.47,0,7.2829,19,7.33,comp26,20.2458,0
n1ccc(nc1N)c1ccccc1,11,129.5634,129.19,0,7.2431,20,7.26,comp26,22.8147,0
n1ccc(nc1N)c1ccccc1,12,127.0378,128.47,0,7.2076,21,7.33,comp26,20.5828,0
n1ccc(nc1N)c1ccccc1,13,125.9986,126.16,0,7.6084,22,7.67,comp26,23.6384,0
c1cc(c(c(=O)[nH]1)C(=O)OCC)OC,1,133.836,134.9,0,6.7319,15,7.52,comp79,42.5873,0
c1cc(c(c(=O)[nH]1)C(=O)OCC)OC,2,101.2779,102.13,1,5.5844,16,6.35,comp79,0.0,1
c1c2n(c(c3nccnc3N)nc2cnc1)CC,1,102.0814,103.71,0,6.9826,19,7.48,comp49,10.9209,0
c1c2n(c(c3nccnc3N)nc2cnc1)CC,7,128.7602,130.89,1,7.5858,20,8.12,comp49,0.0,1
c1c2n(c(c3nccnc3N)nc2cnc1)CC,8,143.0826,144.99,0,7.7826,21,8.2,comp49,33.9877,0
c1c2n(c(c3nccnc3N)nc2cnc1)CC,14,142.5729,140.72,0,8.809,24,8.74,comp49,18.4887,0
c1c2n(c(c3nccnc3N)nc2cnc1)CC,16,142.3068,144.62,0,8.2621,25,8.25,comp49,18.979,0
n1c(nc(n2c1ccn2)NC)C,7,95.8407,95.72,1,6.0285,13,6.65,comp117,0.0,1
n1c(nc(n2c1ccn2)NC)C,8,142.8194,143.73,0,7.4434,14,7.43,comp117,28.7035,0
c1ccc(nc1)c1csc(n1)Nc1ncccc1C,1,119.9939,122.81,0,6.8008,20,7.35,comp66,21.7202,0
c1ccc(nc1)c1csc(n1)Nc1ncccc1C,2,135.009,137.08,0,7.4094,21,7.6,comp66,28.1352,0
c1ccc(nc1)c1csc(n1)Nc1ncccc1C,3,119.1629,120.33,0,7.9867,22,8.09,comp66,23.1791,0
c1ccc(nc1)c1csc(n1)Nc1ncccc1C,6,148.5671,149.41,0,8.3204,23,8.18,comp66,26.5306,0
c1ccc(nc1)c1csc(n1)Nc1ncccc1C,8,113.9031,111.96,1,7.6427,24,7.49,comp66,0.0,1
c1ccc(nc1)c1csc(n1)Nc1ncccc1C,15,144.9458,146.11,0,8.0179,26,8.19,comp66,22.8703,0
c1ccc(nc1)c1csc(n1)Nc1ncccc1C,16,113.9554,118.13,0,6.5501,27,7.15,comp66,7.447,0
c1ccc(nc1)c1csc(n1)Nc1ncccc1C,17,136.2863,140.67,0,7.1452,28,7.55,comp66,26.3549,0
c1cn(c(n1)C=O)C,1,130.3667,132.8,1,6.9189,9,7.12,comp157,0.1382,1
c1cn(c(n1)C=O)C,2,124.6385,127.32,0,6.5599,10,7.06,comp157,0.0,1
c1cscn1,1,141.6835,143.8,0,7.6985,6,7.86,arr39,4.6739999999999995,0
c1cscn1,2,118.6411,120.22,1,6.8795,7,6.83,arr39,0.0,1
c1cscn1,4,150.5526,156.98,0,8.1511,8,7.7,arr39,5.3355,0
c1cn(c(n1)c1ccncc1)C,1,130.2241,127.17,0,6.9462,13,7.17,comp165,0.0,1
c1cn(c(n1)c1ccncc1)C,2,121.7761,122.92,1,6.6243,14,7.09,comp165,0.7132,1
c1cn(c(n1)c1ccncc1)C,7,122.9364,122.08,0,7.8078,15,7.67,comp165,18.6557,0
c1cn(c(n1)c1ccncc1)C,8,150.5991,149.47,0,8.4632,16,8.23,comp165,26.345,0
c1cn(c(n1)c1ccncc1)C,10,148.5144,149.67,0,8.4061,17,8.22,comp165,26.636999999999997,0
c1cn(c(n1)c1ccncc1)C,11,118.1754,121.97,0,6.9662,18,7.36,comp165,17.2233,0
c1c(c2cc(sc2)C)n[nH]c1,1,101.0895,103.22,1,6.3571,12,7.13,comp51,0.0,1
c1c(c2cc(sc2)C)n[nH]c1,4,123.8209,122.78,0,7.3532,13,6.98,comp51,18.465999999999998,0
c1c(c2cc(sc2)C)n[nH]c1,7,120.3275,119.81,0,6.9043,14,6.75,comp51,13.7969,0
c1c(c2cc(sc2)C)n[nH]c1,11,124.9925,128.2,0,6.9921,19,7.48,comp51,9.145,0
c1cnc(nc1c1c(n[nH]c1)C(C)C)SC,1,108.8495,110.69,1,6.6536,17,7.43,comp28,6.5003,1
c1cnc(nc1c1c(n[nH]c1)C(C)C)SC,2,154.8071,156.85,0,7.9941,18,8.21,comp28,29.2268,0
c1cnc(nc1c1c(n[nH]c1)C(C)C)SC,11,125.2448,127.85,0,7.4583,20,7.7,comp28,0.0,1
c1cnc(s1)SCc1c(nc(s1)C)C(F)(F)F,1,118.2938,122.27,1,6.6871,18,6.6,comp67,0.0,1
c1cnc(s1)SCc1c(nc(s1)C)C(F)(F)F,2,139.7177,144.16,0,7.2648,19,7.73,comp67,5.4368,0
c1(cc(no1)c1c(cccc1)Cl)c1ccc(cc1)OC,2,98.2,102.9,1,6.7993,21,6.89,comp9,0.5819,1
c1(cc(no1)c1c(cccc1)Cl)c1ccc(cc1)OC,8,129.2923,130.34,0,7.2211,22,7.29,comp9,10.863,0
c1(cc(no1)c1c(cccc1)Cl)c1ccc(cc1)OC,9,128.8803,131.02,0,7.1139,23,7.29,comp9,30.0,0
c1(cc(no1)c1c(cccc1)Cl)c1ccc(cc1)OC,10,125.6603,128.15,0,7.0927,24,7.22,comp9,9.5879,0
c1(cc(no1)c1c(cccc1)Cl)c1ccc(cc1)OC,11,131.5236,129.59,0,7.8519,25,8.0,comp9,13.0654,0
c1(cc(no1)c1c(cccc1)Cl)c1ccc(cc1)OC,14,126.2392,127.23,0,7.9965,26,7.77,comp9,14.8281,0
c1(cc(no1)c1c(cccc1)Cl)c1ccc(cc1)OC,15,107.4166,113.29,0,6.5989,27,6.9,comp9,0.0,1
c1(cc(no1)c1c(cccc1)Cl)c1ccc(cc1)OC,17,117.6502,113.29,0,6.8867,28,6.9,comp9,1.4966,0
c1(cc(no1)c1c(cccc1)Cl)c1ccc(cc1)OC,18,126.5968,127.23,0,7.5224,29,7.77,comp9,14.4847,0
n1(c(cnc1)c1ccc(OC)cc1)C,3,128.0771,125.27,1,6.7708,15,7.23,comp126,0.0,1
n1(c(cnc1)c1ccc(OC)cc1)C,5,136.0985,139.32,0,6.9497,16,7.37,comp126,3.1866,0
n1(c(cnc1)c1ccc(OC)cc1)C,7,127.7099,129.55,0,7.075,17,7.32,comp126,15.382,0
n1(c(cnc1)c1ccc(OC)cc1)C,8,116.7612,113.32,0,6.8933,18,6.82,comp126,6.8656,0
n1(c(cnc1)c1ccc(OC)cc1)C,12,107.6531,114.18,0,6.5621,22,6.93,comp126,7.9443,0
n1(c(cnc1)c1ccc(OC)cc1)C,13,129.6459,129.55,0,7.2671,23,7.32,comp126,14.7486,0
c1c2c(ccc1)oc(c1nccnc1N)n2,1,119.5795,119.16,0,7.5323,17,7.78,comp134,15.1335,0
c1c2c(ccc1)oc(c1nccnc1N)n2,4,110.5794,110.6,0,7.4181,18,7.36,comp134,14.0353,0
c1c2c(ccc1)oc(c1nccnc1N)n2,5,124.3683,126.45,0,7.1803,19,7.31,comp134,15.0663,0
c1c2c(ccc1)oc(c1nccnc1N)n2,6,123.6059,125.54,0,7.1818,20,7.42,comp134,14.4262,0
c1c2c(ccc1)oc(c1nccnc1N)n2,11,131.4451,132.65,1,7.7237,21,8.19,comp134,0.0,1
c1c2c(ccc1)oc(c1nccnc1N)n2,12,144.1283,144.48,0,7.7905,22,8.16,comp134,34.5698,0
c1cccc(n1)N,1,148.7547,148.24,0,7.8497,8,8.01,comp68,31.6676,0
c1cccc(n1)N,2,111.6566,114.34,1,6.3331,9,6.77,comp68,0.4789,1
c1cccc(n1)N,3,136.0086,138.17,0,7.1138,10,7.57,comp68,34.4403,0
c1cccc(n1)N,4,104.8789,110.17,0,6.1767,11,6.87,comp68,0.0,0
c1(ccc(=O)[nH]c1C)C(=O)CC,2,139.1224,139.77,0,7.4638,13,7.39,comp82,36.1452,0
c1(ccc(=O)[nH]c1C)C(=O)CC,3,116.7713,116.15,1,6.0452,14,6.06,comp82,0.0,1
c1cnc(s1)c1n[nH]c(c1)C(OC)OC,1,118.7908,121.87,0,6.742999999999999,16,6.84,comp52,6.0153,0
c1cnc(s1)c1n[nH]c(c1)C(OC)OC,2,140.6757,145.04,0,7.407,17,7.68,comp52,30.0,0
c1cnc(s1)c1n[nH]c(c1)C(OC)OC,10,102.6198,101.76,1,6.7189,19,6.88,comp52,0.0,1
c1ccc(cn1)O,1,141.0434,142.09,1,7.9508,8,7.86,comp130,1.3135,1
c1ccc(cn1)O,2,121.3905,123.15,0,6.7961,9,7.12,comp130,6.7051,0
c1ccc(cn1)O,3,116.7764,122.16,0,6.462000000000001,10,6.93,comp130,3.6883,0
c1ccc(cn1)O,5,138.3612,139.82,0,8.1912,11,7.86,comp130,0.0,1
N(c1nccc(=O)[nH]1)c1ccc(C(=O)O)cc1,4,154.3199,154.32,0,7.3228,19,7.62,comp106,46.3425,0
N(c1nccc(=O)[nH]1)c1ccc(C(=O)O)cc1,5,107.7461,108.64,1,5.682,20,5.94,comp106,0.0,1
N(c1nccc(=O)[nH]1)c1ccc(C(=O)O)cc1,10,119.5782,118.62,0,6.7504,22,7.15,comp106,19.0664,0
N(c1nccc(=O)[nH]1)c1ccc(C(=O)O)cc1,11,134.2564,131.54,0,8.1241,23,8.02,comp106,32.2112,0
N(c1nccc(=O)[nH]1)c1ccc(C(=O)O)cc1,16,132.3948,131.79,0,8.0248,25,8.04,comp106,28.7757,0
N(c1nccc(=O)[nH]1)c1ccc(C(=O)O)cc1,17,115.5765,117.59,0,7.1519,26,7.43,comp106,18.3302,0
c1c(nc[nH]1)C(=O)OC,1,120.3718,124.19,1,7.4368,10,7.77,comp14,0.0,1
c1c(nc[nH]1)C(=O)OC,4,131.2291,137.11,0,7.0008,11,7.79,comp14,2.2993,0
c1c(ccnc1N)C(F)(F)F,1,100.8857,103.96,0,6.3574,12,7.19,comp69,0.0,1
c1c(ccnc1N)C(F)(F)F,3,108.7209,110.23,1,6.5407,13,6.91,comp69,0.5288,1
c1c(ccnc1N)C(F)(F)F,4,149.5536,148.78,0,7.9206,14,8.04,comp69,34.4132,0
c1(ccc(=O)[nH]c1C(=O)OC)C,2,143.2758,145.43,0,6.8417,13,7.17,comp83,27.7296,0
c1(ccc(=O)[nH]c1C(=O)OC)C,3,129.6498,121.33,1,6.4183,14,6.28,comp83,0.0,1
n1c(cc(nc1)NC)N1CCOCC1,3,75.5372,86.32,1,4.9448,15,7.05,comp90,0.0,1
n1c(cc(nc1)NC)N1CCOCC1,6,156.6159,157.67,0,7.7951,16,8.31,comp90,52.7188,0
c1cn(c(n1)N(=O)=O)C,1,127.185,130.11,1,6.7655,10,7.25,comp160,0.0,1
